#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
5.079690 1.3513350551 1.3207345637 1.3203820642 1.4916638168 1.9987714667 2.4881238893 2.6300558034 3.6607398622 2.1547611094 2.1249402471 2.3599659920 2.8983871603 3.4122498113 3.3998475111 4.4754388327 2.1298134838 2.4173756192 3.0534035017 2.7168261005 2.5029360308 4.0417576671 2.2348122718 2.0105440002 3.4082991820 3.7412289163 4.4539745509 1.1294426089 1.4958644633 2.0765707172 2.3422438225 2.3476997658 3.0805224309 2.8970576658 .9130485991 1.3298657314 1.9405777647
5.321580 1.3530121563 1.3205446869 1.3183809131 1.4924331608 1.9604958908 2.4923326063 2.6396696802 3.6612306368 2.1553744194 2.1254925267 2.3599483392 2.8680531012 3.4153073710 3.4089155366 4.4748403847 2.1299185023 2.4197383874 3.0129171737 2.7191234118 2.5192810821 4.0415841642 2.2317553921 1.9914783541 3.4117685864 3.7476061493 4.4534812122 1.0853570105 1.5042746630 2.0781958592 2.3448276475 2.3183704795 3.0374914976 2.8798667701 .8973352545 1.3277548904 1.9197703897
5.563470 1.3545851892 1.3203619042 1.3163909965 1.4933158013 1.9234303991 2.4966141506 2.6519534421 3.6618074110 2.1559788381 2.1260643317 2.3599955945 2.8387231473 3.4183531307 3.4192593853 4.4742175814 2.1300480787 2.4220424961 2.9733861760 2.7216473531 2.5353477157 4.0413652495 2.2287568439 1.9741464589 3.4150857074 3.7574845913 4.4529906088 1.0419463243 1.5122144419 2.0853740531 2.3473339235 2.2889906634 3.0011990134 2.8628147127 .8892722642 1.3253208276 1.9043585924
5.805360 1.3560303942 1.3201986416 1.3144357411 1.4942687300 1.8883086585 2.5009695199 2.6669772254 3.6624489376 2.1565714996 2.1266554558 2.3600413758 2.8110718322 3.4213864136 3.4308422222 4.4735390474 2.1302136734 2.4242494893 2.9355204479 2.7244313391 2.5510827449 4.0410971597 2.2258391345 1.9586939245 3.4182499090 3.7710570745 4.4524952800 1.0002131641 1.5196334678 2.0983401183 2.3497461606 2.2602270257 2.9727362862 2.8463097464 .8894283186 1.3225170001 1.8947850865
6.047250 1.3573539241 1.3200570068 1.3125440121 1.4952451131 1.8559740460 2.5053752641 2.6847053431 3.6631630293 2.1571578434 2.1272759837 2.3600507743 2.7859233329 3.4244200583 3.4436464311 4.4728435512 2.1304239631 2.4263064983 2.9001462060 2.7274661475 2.5665226931 4.0408001568 2.2230413257 1.9451814639 3.4212594169 3.7883325920 4.4520265797 .9614093145 1.5264758081 2.1169773370 2.3520719626 2.2329321945 2.9529965225 2.8308962796 .8978480487 1.3193669647 1.8911717389
6.289140 1.3585483576 1.3199394087 1.3107149205 1.4961982810 1.8273575795 2.5098322757 2.7049979387 3.6639253766 2.1577343239 2.1279058145 2.3599610866 2.7641833550 3.4274581123 3.4576177052 4.4721117640 2.1306683154 2.4281575953 2.8682036243 2.7307511576 2.5817987581 4.0404655029 2.2203932333 1.9335316865 3.4241288460 3.8091024206 4.4515700254 .9270442199 1.5327131157 2.1408088775 2.3542791496 2.2081846223 2.9426950585 2.8172203159 .9140333642 1.3158639174 1.8932432257
6.531030 1.3596171170 1.3198484147 1.3089801836 1.4970845969 1.8033753347 2.5143170260 2.7275686012 3.6647317814 2.1583032253 2.1285649932 2.3597253952 2.7467950435 3.4304951590 3.4726572111 4.4713628035 2.1309594398 2.4297481643 2.8406330225 2.7342508132 2.5970409509 4.0401050901 2.2179504258 1.9235168516 3.4268737132 3.8329594696 4.4511403847 .8987575919 1.5383086075 2.1690381343 2.3563470150 2.1871421625 2.9423114323 2.8060089384 .9370385998 1.3120598167 1.9004615344
6.772920 1.3605653589 1.3197852823 1.3073426017 1.4978742154 1.7848704459 2.5188138163 2.7520754773 3.6655631557 2.1588698072 2.1292535990 2.3592996744 2.7346480873 3.4335187401 3.4886564520 4.4705889550 2.1312900080 2.4310318264 2.8183173846 2.7379254122 2.6123860061 4.0397125825 2.2157636586 1.9148110740 3.4295072318 3.8593778244 4.4507255357 .8781695142 1.5432353705 2.2007152128 2.3582277290 2.1709577528 2.9521653411 2.7979725150 .9656622733 1.3079963522 1.9120842930
7.014810 1.3613692998 1.3197499620 1.3058210964 1.4985502879 1.7724886996 2.5233185552 2.7781071984 3.6664214929 2.1594200343 2.1299614850 2.3586321485 2.7284297105 3.4365047382 3.5054503145 4.4697849187 2.1316666597 2.4319754450 2.8019379180 2.7417420827 2.6279161410 4.0392987501 2.2138881051 1.9070590453 3.4320629165 3.8877624965 4.4503376273 .8666153255 1.5474856554 2.2348165898 2.3598916186 2.1605914379 2.9722866708 2.7937223906 .9985920798 1.3037266963 1.9272920726
7.256700 1.3620521168 1.3197506582 1.3044189158 1.4991125950 1.7666051068 2.5278229123 2.8052268485 3.6673047397 2.1599776496 2.1306987771 2.3577320335 2.7285872023 3.4394593892 3.5228732425 4.4689746745 2.1320954249 2.4325742268 2.7918991449 2.7456641506 2.6436602359 4.0388695033 2.2123676811 1.9000013072 3.4345676285 3.9175011748 4.4499840907 .8648981806 1.5510652159 2.2703495981 2.3613083158 2.1566405154 3.0023249809 2.7936353173 1.0345342563 1.2993025242 1.9452400212
