#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
11.126940 0.0554109 0.517282 0.259633 0.137674 0.261856 0.138799 0.138686 0.267893 0.23851 0.366712 0.217378 2.73331 0.957444 0.862568 0.770621 0.97558 0.575409 0.73004 2.72184 4.24371 6.43349
11.368830 0.0550757 0.513797 0.260557 0.137479 0.260582 0.138111 0.138366 0.267381 0.239689 0.368577 0.215424 2.76614 0.940952 0.880085 0.756625 0.9695 0.584243 0.733714 3.31353 4.26961 5.47582
11.610720 0.0549975 0.509734 0.261193 0.136866 0.259363 0.137781 0.138525 0.266849 0.238999 0.370815 0.213976 2.79685 0.92931 0.891674 0.749133 0.965529 0.591686 0.742575 4.23848 4.29299 5.07243
11.852610 0.0548723 0.505164 0.261512 0.136024 0.258065 0.137827 0.139121 0.266234 0.236879 0.372968 0.213266 2.82446 0.922378 0.898109 0.747404 0.964315 0.596979 0.756467 5.29448 4.31024 5.06764
12.094500 0.054639 0.500112 0.261465 0.135165 0.256554 0.138243 0.140108 0.265511 0.233824 0.374841 0.213413 2.84774 0.920824 0.900036 0.750433 0.966955 0.600357 0.774971 6.127 4.30831 5.39492
12.336390 0.0543104 0.494656 0.261043 0.134489 0.254802 0.138962 0.141499 0.264628 0.2303 0.376141 0.214307 2.86522 0.925762 0.898297 0.756929 0.97531 0.601384 0.796965 6.42893 4.26777 6.05044
12.578280 0.0542382 0.488877 0.260264 0.134166 0.252854 0.139883 0.143215 0.263609 0.226611 0.376918 0.215689 2.8755 0.939809 0.893454 0.76533 0.992936 0.600278 0.821894 6.14324 4.16848 7.08312
12.820170 0.0537907 0.482854 0.259121 0.13438 0.250742 0.140852 0.145289 0.262421 0.223058 0.377282 0.217088 2.87738 0.96714 0.885262 0.774251 1.0231 0.597759 0.847332 5.45073 3.99662 8.59593
13.062060 0.0530106 0.476658 0.257672 0.135329 0.248556 0.141741 0.147685 0.261056 0.219928 0.37758 0.21785 2.86943 1.01154 0.872889 0.782778 1.07187 0.594273 0.872379 4.60998 3.74659 10.7958
13.303950 0.0525191 0.470371 0.255947 0.137235 0.246355 0.142457 0.150375 0.259521 0.217591 0.378181 0.217385 2.85144 1.07747 0.854535 0.791476 1.14551 0.589713 0.896548 3.81412 3.43382 14.1358
13.545840 0.0520274 0.464034 0.253968 0.140207 0.244128 0.143114 0.153406 0.257694 0.216316 0.379468 0.214938 2.82303 1.16861 0.827664 0.802601 1.25287 0.584153 0.919869 3.16091 3.08199 19.5117
13.787730 0.0515181 0.457626 0.251841 0.144331 0.24172 0.144026 0.156852 0.255565 0.216294 0.381777 0.209712 2.78552 1.28812 0.787952 0.819883 1.40629 0.5776 0.942921 2.67588 2.71086 28.7334
14.029620 0.0510254 0.451185 0.249675 0.149632 0.238549 0.146215 0.160717 0.253105 0.217607 0.385437 0.201085 2.74118 1.43884 0.726737 0.849703 1.62499 0.5716 0.965999 2.3545 2.32506 45.7313
14.271510 0.0505359 0.444619 0.24767 0.156 0.232853 0.1524 0.165134 0.250248 0.220177 0.389331 0.190925 2.69381 1.62231 0.628096 0.898619 1.9433 0.575323 0.98523 2.18396 1.90713 76.3768
14.513400 0.0500031 0.437842 0.246106 0.163183 0.220572 0.167469 0.170231 0.246871 0.223821 0.387187 0.192498 2.65051 1.83889 0.482429 0.957592 2.42579 0.619927 0.984617 2.1242 1.43471 114.256
14.755290 0.0494914 0.430744 0.245549 0.170628 0.200658 0.189118 0.176207 0.242815 0.228317 0.369799 0.221576 2.62324 2.08324 0.363754 0.981503 3.21051 0.726474 0.947561 2.0522 1.00094 114.492
14.997180 0.0489798 0.423191 0.247078 0.177028 0.182861 0.205034 0.183156 0.237871 0.233565 0.345795 0.255127 2.63659 2.3381 0.362939 0.953752 4.63266 0.846763 0.907734 1.89704 0.752836 79.7415
15.239070 0.0484868 0.415069 0.253235 0.178996 0.171858 0.213295 0.19102 0.231498 0.239347 0.327248 0.276402 2.75182 2.54734 0.407881 0.906637 7.6634 0.970717 0.904471 1.69875 0.61231 51.1669
15.480960 0.0482751 0.406362 0.269112 0.168241 0.165575 0.217472 0.199725 0.223236 0.245606 0.315116 0.288189 3.12856 2.52587 0.450441 0.857717 14.7219 1.15717 0.953364 1.44044 0.435494 34.3612
15.722850 0.0478247 0.397188 0.288459 0.150863 0.161918 0.219766 0.209145 0.219398 0.246266 0.307427 0.294784 3.84052 1.98699 0.48637 0.811062 19.0991 1.39635 0.99153 1.06786 0.237758 24.5923
15.964740 0.0474625 0.3878 0.293068 0.160396 0.159704 0.221301 0.218539 0.224304 0.237596 0.302591 0.298315 4.34662 1.6249 0.518239 0.767493 11.3432 1.44076 0.933064 0.876055 0.35179 18.6308
16.206630 0.0470523 0.378624 0.298083 0.168543 0.158393 0.222642 0.227217 0.226939 0.22933 0.299717 0.299854 4.69718 1.56366 0.547531 0.727656 7.02509 1.38979 0.877368 0.854349 0.426684 14.7877
16.448520 0.0465903 0.370294 0.305341 0.17087 0.157671 0.224215 0.234537 0.226794 0.222363 0.298376 0.299924 5.01171 1.55151 0.574761 0.693049 5.15788 1.33481 0.838785 0.866274 0.452163 12.2111
16.690410 0.0461014 0.363493 0.312557 0.170145 0.157389 0.226448 0.239634 0.225099 0.216069 0.298449 0.298463 5.30846 1.54679 0.599708 0.665236 4.20966 1.29175 0.807328 0.882013 0.456061 10.4943
16.932300 0.0456553 0.358933 0.318178 0.167838 0.157494 0.229937 0.242073 0.222668 0.21017 0.300003 0.294858 5.60019 1.5477 0.621586 0.645586 3.67355 1.26346 0.777717 0.896559 0.45025 9.50067
